feature,importance
compactness,0.061936003940560924
area,0.0575703011091399
perimeter,0.05244149886427325
mean_b,0.05163016708054953
mean_r,0.044591955923559336
std_b,0.044173603982899066
contrast,0.04295617847497104
lbp_2,0.042372647806507686
mean_g,0.04138795052341394
vein_density,0.040939157830032505
std_r,0.04032704118992519
lbp_1,0.04029738051178208
lbp_0,0.040056163400797394
std_g,0.0396716841762907
correlation,0.03925872960896368
homogeneity,0.03912637947699157
lbp_4,0.03825504814358958
lbp_9,0.03686900126392777
lbp_3,0.036818514500071196
lbp_7,0.03545925877549142
lbp_5,0.03498516738265696
lbp_6,0.034741333926357545
lbp_8,0.033796456502309814
energy,0.030338375604937858
