feature,importance
compactness,0.08068321053906488
area,0.07252423238800602
perimeter,0.07016510931156478
contrast,0.0667859618172887
correlation,0.057427024506286034
lbp_2,0.05655604155304862
homogeneity,0.05576085358058156
vein_density,0.054454239506176456
lbp_1,0.053473227280840724
lbp_0,0.05247686268610403
lbp_4,0.05157929986260657
lbp_7,0.04914310723111328
lbp_3,0.04882254153042837
lbp_9,0.048086874207901247
lbp_5,0.04655569497364627
energy,0.04606505140493093
lbp_6,0.04587223024292989
lbp_8,0.04356843737748154
