feature,importance
compactness,0.0654497135265146
area,0.06119860377454179
perimeter,0.056435967239034684
mean_b,0.05309056663039298
mean_r,0.04665948497222085
std_b,0.04477955744769258
contrast,0.044502449814522685
lbp_2,0.04436793227708771
mean_g,0.043447738044218066
std_r,0.04192747740208388
correlation,0.041532462760644165
lbp_1,0.04147720483605377
std_g,0.04083949014677226
homogeneity,0.04063944035582132
lbp_0,0.04053679948277009
lbp_4,0.039899060786206524
lbp_3,0.038061605563711506
lbp_9,0.03799193051063453
lbp_7,0.037497759506299445
lbp_5,0.036663681475262146
lbp_6,0.035532907451904676
lbp_8,0.03542531680058408
energy,0.03204284919502577
