image,class_id,type,area,perimeter,compactness,mean_r,mean_g,mean_b,std_r,std_g,std_b,contrast,homogeneity,energy,correlation,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,vein_density
,Viburnum opulus,Scan,83585.5,1550.3199682235718,28.754891743711315,245.28956145035903,58.71707317073171,65.43151148299805,9.90585711656929,30.978862352401116,23.625304987423313,0.3859201144746256,0.9337498508196,0.5173733981622084,0.9843778163179845,0.004763487315800971,0.016382949915584217,0.017663060202001014,0.07908373644449931,0.18211415137192055,0.11922257917531834,0.038495624238159006,0.01758920768547697,0.49910761542225723,0.02557758822282795,0.008320716861709189
,Crataegus monogyna,Scan,45241.0,2431.4297016859055,130.6746180258999,74.10257684083201,98.98816337991663,42.052703198911374,6.321436231690869,7.010835441281414,7.725015369402243,0.1974582425562818,0.9784036786320525,0.7440267665989597,0.9795632321896804,0.009315101572584049,0.022487850523574583,0.014138670047305148,0.0353587491319668,0.048012315493688236,0.04595369615716771,0.02784267560126872,0.021805668749302388,0.743765281169104,0.03131999154800132,0.010691539134832373
,Rhamnus cathartica,Scan,40595.0,861.3767565488815,18.27737200897632,68.66904296875,74.112451171875,50.1630615234375,16.37605670081993,14.593350210247326,14.929566008863002,0.8173750425025501,0.7992373339489766,0.3895261235730966,0.8947707577232555,0.06895852347515535,0.0844234864603924,0.03735253354904248,0.04690193692244022,0.06243450630324114,0.04921745597050303,0.04651320014794792,0.08040090592434167,0.38954805123906383,0.13424939999097033,0.023188993678410083
,Platanus x hispanica,Scan,67816.5,1306.6976046562195,25.177628305635416,61.09524436255155,95.94529262086515,22.75364862098213,8.779018676682906,9.144833363217298,7.497888488968169,0.20705816009266598,0.9496464256229775,0.5562201040430633,0.9790830568902189,0.013551412523743082,0.03188344113129682,0.019228869144739202,0.06388088741562568,0.10100856558639683,0.1009933648993259,0.0528679896327296,0.038845355809787374,0.5283606818988063,0.04937943194994885,0.0078131531544632
,Platanus x hispanica,Scan,70791.0,1457.4255254268646,30.005073556465764,45.714993700125994,73.9052498950021,26.059708805823885,12.49076032123717,11.11539685288415,12.675061327015827,0.1980580357142857,0.9413334983031675,0.5361693599491851,0.9669995712798999,0.02331967699780816,0.04490262439106918,0.029487293670366586,0.0641031350191181,0.08467670110375343,0.07748485927979541,0.05197571547283594,0.04508817242574302,0.5145840755216528,0.06437774611043538,0.010286783042317667
,Crataegus monogyna,Scan,45074.5,2078.250993490219,95.82196567565389,31.823400182711968,65.40755644494715,8.13494583895245,9.500984127822013,8.50297701186874,7.013595104662326,0.12467453954645068,0.9559762075931547,0.701299693150067,0.9598813562045156,0.016247961295339775,0.02774008744138988,0.021956334032167287,0.04044515713416084,0.04332332826197303,0.040904293956930876,0.03098145635437837,0.02610227101389675,0.7112372024127898,0.04106190809012059,0.011080958842076936
,Ulmus minor,Scan,57742.5,1011.7859135866165,17.72889526630429,24.451691651767295,49.42729679548893,5.440929720808692,9.26458810328441,9.612584280324628,5.401757321843451,0.2340425531914893,0.8990350201142486,0.49965914169232445,0.8846602768765772,0.06675392670083023,0.06329310497755687,0.043326825804826,0.04527908421282635,0.04397018368928066,0.04591134971996283,0.049094862010281584,0.06830685952537596,0.4436174460861255,0.13044635726184173,0.018646286271867
,Paliurus spina-christi,Scan,84348.0,1161.2001299858093,15.985983566451777,32.790354516311524,60.1342754101452,16.09287195926834,7.8692412518119825,7.25285744850601,7.879626463951322,0.16070454368326711,0.9375932369674548,0.5193142833788402,0.9420438099532598,0.023977153111905083,0.05414919500910986,0.03792859484704381,0.09381201359688521,0.11210332867325756,0.11721109212854644,0.079429172921266,0.060637435073936284,0.3361891943164381,0.0845628203129837,0.009922175631051041
,Prunus serotina,Scan,56135.5,1008.8153558969498,18.12949777369686,75.15544004808882,84.94814539797036,52.98398217884799,24.299236046480484,21.70861032112374,23.728968712350877,2.11370961789238,0.6609154640217101,0.33200619614683174,0.8114545589792984,0.09799889847502603,0.07972584297069059,0.03222568998185882,0.03080594822800556,0.03695000305933603,0.035689370295138745,0.0381249617521801,0.07770638271736484,0.4085429288243248,0.1622299736838354,0.035958631662248844
,Buxus sempervirens,Scan,25358.5,747.3696186542511,22.026592537625415,43.911667380386966,60.39798341573559,5.088293689414879,10.510907439276092,13.464325483040023,5.458364047424357,0.2275987118075289,0.9277655063766082,0.4659862093749353,0.9382437616021193,0.04265250281553054,0.04892966360725013,0.04394012554203712,0.07637212296592166,0.096732657328807,0.09329899672478945,0.06336176833351141,0.05633349428466298,0.3802510864214751,0.09812758194918914,0.019528944685349832
